Vendor List,,,,,,,,,,,,,,,
Category,KW,Vendor name,ADDRESS,Date,Invoice no,HSN NO,item,Specification,Make,Unit ,Unit Rate,GST %,WITH GST,DISCOUNT PRICE,TOTAL
HARDWARE ,,SREE MURUGAN HARDWARE & ELECTRICALS,"NO:10/1, A-C, S.M.Palayam Road, G.N.Mills (Po), Coimbatore - 641 026",2/Apr/2025,17,8536,32A MCB DP - MDP 32 MILLION,,,Nos,576.27,18%,680,,
HARDWARE ,,SREE MURUGAN HARDWARE & ELECTRICALS,"NO:10/1, A-C, S.M.Palayam Road, G.N.Mills (Po), Coimbatore - 641 026",2/Apr/2025,17,8537,DB BOX S/P,,,Nos,148.3,18%,175,,
HARDWARE ,,SREE MURUGAN HARDWARE & ELECTRICALS,"NO:10/1, A-C, S.M.Palayam Road, G.N.Mills (Po), Coimbatore - 641 026",2/Apr/2025,17,8544,CABLE CLIPS,"3/4""",,Nos,1.69,18%,2,,
HARDWARE ,,SREE MURUGAN HARDWARE & ELECTRICALS,"NO:10/1, A-C, S.M.Palayam Road, G.N.Mills (Po), Coimbatore - 641 026",2/Apr/2025,17,7318,WOODEN SCREW,35 X 8,,Dozen,5.08,18%,6,,
ELECTRICAL,,EFFLEX ELECTRICALS AND AGENCIES,"57/1, Indian Complex, Bye Pass Road, Dharapuram - 638 656.",3/Apr/2025,455,72159020,Copper Earth Rod,1 mtr,MED,Nos,782,18%,923,,
ELECTRICAL,,EFFLEX ELECTRICALS AND AGENCIES,"57/1, Indian Complex, Bye Pass Road, Dharapuram - 638 656.",3/Apr/2025,455,39172310,Wiring Pipe,"3/4"" 1.5M",MEERA GREEN,Length,36.42,18%,43,,
ELECTRICAL,,EFFLEX ELECTRICALS AND AGENCIES,"57/1, Indian Complex, Bye Pass Road, Dharapuram - 638 656.",3/Apr/2025,455,39174000,Bend,"3/4"" 1.5M",MERAKUNJ,Nos,5.3,18%,6,,
ELECTRICAL,,EFFLEX ELECTRICALS AND AGENCIES,"57/1, Indian Complex, Bye Pass Road, Dharapuram - 638 656.",3/Apr/2025,455,39173100,Spring Hose,"1/2""",,Mtr,6.88,18%,8,,
ELECTRICAL,,EFFLEX ELECTRICALS AND AGENCIES,"57/1, Indian Complex, Bye Pass Road, Dharapuram - 638 656.",3/Apr/2025,455,39174000,Tee,"3/4""",,Nos,2.06,18%,2,,
ELECTRICAL,,EFFLEX ELECTRICALS AND AGENCIES,"57/1, Indian Complex, Bye Pass Road, Dharapuram - 638 656.",3/Apr/2025,455,39269099,Cable Clip,20 mm,,Nos,1.1,18%,1,,
ELECTRICAL,,EFFLEX ELECTRICALS AND AGENCIES,"57/1, Indian Complex, Bye Pass Road, Dharapuram - 638 656.",3/Apr/2025,455,73181110,Wooden Screw,35 X 8,,Nos,1.1,18%,1,,
ELECTRICAL,,EFFLEX ELECTRICALS AND AGENCIES,"57/1, Indian Complex, Bye Pass Road, Dharapuram - 638 656.",3/Apr/2025,455,74071090,Earth Set HY,,,Nos,116.94,18%,138,,
ELECTRICAL,,EFFLEX ELECTRICALS AND AGENCIES,"57/1, Indian Complex, Bye Pass Road, Dharapuram - 638 656.",3/Apr/2025,455,85362030,2 Pole MCB D X 3,2 Pole,,Nos,450.8,18%,532,,
ELECTRICAL,,EFFLEX ELECTRICALS AND AGENCIES,"57/1, Indian Complex, Bye Pass Road, Dharapuram - 638 656.",3/Apr/2025,455,85469090,Wooder Tap Roll,,,Nos,15.3,18%,18,,
